#--------------------------------------------------------------------
#Temperature Measurments using a Lakeshore Temperature Monitor 218 1-4 DT-670,5-6 Cernox
#Type of file: Complete Data
#Sensors: Sensor 1 -- Diode1  Sensor 2 -- Diode2  Sensor 3 -- Diode3  Sensor 4 -- Diode4  Sensor 5 -- Cernox5  Sensor 6 -- Cernox6  
#Date: 07-05-2021 15:46:31
#--------------------------------------------------------------------

#    Time	Sensor 1	Sensor 2	Sensor 3	Sensor 4	Sensor 5	Sensor 6	
    275.42	+294.40	+294.36	+295.14	+294.39	+286.03	+285.75
    276.32	+294.40	+294.36	+295.14	+294.39	+286.07	+285.80
    277.23	+294.40	+294.36	+295.14	+294.39	+285.89	+285.57
    278.13	+294.40	+294.36	+295.14	+294.39	+285.98	+285.46
    279.04	+294.40	+294.36	+295.14	+294.39	+286.00	+285.76
    279.94	+294.40	+294.36	+295.14	+294.39	+285.74	+285.59
    280.85	+294.40	+294.36	+295.14	+294.39	+285.80	+285.69
    281.75	+294.40	+294.36	+295.14	+294.39	+286.00	+285.78
    282.65	+294.40	+294.36	+295.14	+294.39	+286.08	+285.70
    283.56	+294.40	+294.36	+295.14	+294.39	+286.01	+285.79
    284.46	+294.40	+294.36	+295.14	+294.39	+286.05	+285.69
    285.37	+294.40	+294.36	+295.13	+294.39	+286.13	+285.63
    286.27	+294.40	+294.36	+295.13	+294.39	+286.00	+285.73
    287.17	+294.40	+294.36	+295.14	+294.38	+285.93	+285.57
    288.08	+294.40	+294.36	+295.14	+294.38	+286.10	+285.84
    288.98	+294.40	+294.36	+295.14	+294.39	+285.99	+285.73
    289.89	+294.40	+294.36	+295.14	+294.39	+286.07	+285.64
    290.79	+294.40	+294.36	+295.14	+294.39	+285.99	+285.82
    291.69	+294.40	+294.36	+295.14	+294.39	+286.05	+285.78
    292.60	+294.40	+294.36	+295.13	+294.39	+285.93	+285.84
    293.50	+294.40	+294.36	+295.13	+294.39	+286.09	+285.77
    294.40	+294.40	+294.36	+295.13	+294.39	+286.08	+285.73
    295.31	+294.40	+294.36	+295.13	+294.39	+285.97	+285.70
    296.21	+294.40	+294.36	+295.13	+294.39	+285.93	+285.64
    297.12	+294.40	+294.36	+295.14	+294.39	+285.95	+285.66
    298.02	+294.40	+294.36	+295.14	+294.39	+286.05	+285.73
    298.92	+294.40	+294.36	+295.14	+294.39	+285.96	+285.74
    299.83	+294.40	+294.36	+295.14	+294.39	+285.95	+285.71
    300.73	+294.40	+294.36	+295.14	+294.39	+286.03	+285.74
    301.63	+294.40	+294.36	+295.13	+294.39	+286.12	+285.82
    302.54	+294.40	+294.36	+295.13	+294.39	+285.99	+285.66
    303.44	+294.40	+294.36	+295.13	+294.39	+285.85	+285.45
    304.34	+294.40	+294.36	+295.13	+294.39	+285.89	+285.35
    305.25	+294.40	+294.36	+295.13	+294.39	+285.96	+285.47
    306.15	+294.40	+294.35	+295.14	+294.39	+285.93	+285.47
    307.06	+294.40	+294.35	+295.14	+294.39	+285.91	+285.70
    307.96	+294.40	+294.35	+295.14	+294.39	+286.16	+285.74
    308.87	+294.40	+294.36	+295.14	+294.39	+286.01	+285.68
    309.77	+294.40	+294.36	+295.14	+294.39	+285.98	+285.80
    310.68	+294.40	+294.36	+295.14	+294.39	+286.04	+285.94
    311.58	+294.40	+294.36	+295.14	+294.39	+285.97	+285.67
    312.49	+294.40	+294.36	+295.14	+294.39	+285.96	+285.62
    313.39	+294.40	+294.36	+295.14	+294.39	+285.93	+285.63
    314.29	+294.40	+294.36	+295.14	+294.39	+285.93	+285.48
    315.20	+294.40	+294.36	+295.14	+294.39	+286.08	+285.63
    316.10	+294.40	+294.35	+295.14	+294.39	+285.94	+285.72
    317.01	+294.40	+294.35	+295.14	+294.39	+285.95	+285.71
    317.91	+294.40	+294.35	+295.14	+294.39	+285.96	+285.67
    318.82	+294.40	+294.35	+295.14	+294.39	+285.83	+285.77
    319.72	+294.40	+294.35	+295.14	+294.39	+285.96	+285.67
    320.63	+294.40	+294.36	+295.14	+294.39	+285.94	+285.74
    321.53	+294.40	+294.36	+295.14	+294.39	+286.00	+285.68
    322.44	+294.40	+294.36	+295.14	+294.39	+286.01	+285.63
    323.34	+294.40	+294.36	+295.14	+294.39	+285.95	+285.63
    324.25	+294.40	+294.36	+295.14	+294.39	+286.00	+285.72
    325.15	+294.40	+294.35	+295.14	+294.39	+286.05	+285.60
    326.06	+294.40	+294.35	+295.14	+294.39	+285.88	+285.62
    326.96	+294.40	+294.35	+295.14	+294.39	+285.93	+285.77
    327.87	+294.40	+294.35	+295.14	+294.39	+285.96	+285.56
    328.77	+294.40	+294.35	+295.14	+294.39	+286.03	+285.58
    329.67	+294.40	+294.36	+295.14	+294.39	+285.75	+285.55
    330.58	+294.40	+294.36	+295.14	+294.39	+285.88	+285.56
    331.48	+294.40	+294.36	+295.14	+294.39	+285.95	+285.57
    332.39	+294.40	+294.36	+295.14	+294.39	+285.89	+285.57
    333.29	+294.40	+294.36	+295.14	+294.39	+285.89	+285.58
    334.20	+294.40	+294.35	+295.14	+294.39	+285.86	+285.45
    335.10	+294.41	+294.35	+295.14	+294.39	+285.93	+285.50
