#--------------------------------------------------------------------
#Temperature Measurments using a Lakeshore Temperature Control 335 A-B Cernox
#Type of file: Complete Data
#Sensors: Sensor 1 -- CernoxA  Sensor 2 -- CernoxB  
#Date: 07-05-2021 15:46:31
#--------------------------------------------------------------------

#    Time	Sensor 1	Sensor 2	
    546.11	+294.84	+295.01
    547.01	+294.84	+295.01
    547.91	+294.84	+295.01
    548.82	+294.84	+295.01
    549.72	+294.84	+295.01
    550.63	+294.84	+295.02
    551.53	+294.84	+295.01
    552.44	+294.84	+295.01
    553.34	+294.84	+295.01
    554.25	+294.84	+295.01
    555.15	+294.84	+295.01
    556.06	+294.84	+295.01
    556.96	+294.84	+295.01
    557.86	+294.84	+295.02
    558.77	+294.84	+295.01
    559.67	+294.84	+295.01
    560.58	+294.84	+295.01
    561.48	+294.84	+295.01
    562.39	+294.84	+295.01
    563.29	+294.84	+295.01
    564.20	+294.84	+295.01
    565.10	+294.84	+295.01
    566.01	+294.84	+295.01
    566.91	+294.84	+295.01
    567.81	+294.84	+295.01
    568.72	+294.84	+295.01
    569.62	+294.84	+295.02
    570.53	+294.84	+295.02
    571.43	+294.84	+295.01
    572.33	+294.84	+295.02
    573.23	+294.84	+295.01
    574.14	+294.84	+295.01
    575.04	+294.84	+295.01
    575.95	+294.84	+295.01
    576.85	+294.84	+295.01
    577.75	+294.84	+295.01
    578.66	+294.84	+295.01
    579.56	+294.84	+295.01
    580.46	+294.84	+295.01
    581.37	+294.84	+295.01
    582.27	+294.84	+295.01
    583.18	+294.84	+295.01
    584.08	+294.84	+295.02
    584.98	+294.84	+295.02
    585.89	+294.84	+295.02
    586.79	+294.84	+295.01
    587.69	+294.84	+295.01
    588.60	+294.84	+295.01
    589.50	+294.84	+295.01
    590.41	+294.84	+295.01
    591.31	+294.84	+295.01
    592.22	+294.84	+295.01
    593.12	+294.84	+295.01
    594.02	+294.84	+295.01
    594.93	+294.84	+295.02
    595.83	+294.85	+295.01
    596.73	+294.84	+295.01
    597.65	+294.84	+295.02
    598.55	+294.84	+295.01
    599.45	+294.84	+295.01
    600.36	+294.84	+295.01
    601.26	+294.84	+295.01
    602.17	+294.84	+295.01
    603.07	+294.84	+295.01
    603.97	+294.84	+295.01
    604.88	+294.84	+295.01
    605.78	+294.84	+295.01
    606.69	+294.84	+295.01
    607.59	+294.84	+295.01
    608.50	+294.84	+295.01
    609.40	+294.84	+295.01
    610.31	+294.84	+295.02
    611.21	+294.84	+295.01
    612.12	+294.84	+295.02
    613.02	+294.84	+295.01
    613.92	+294.84	+295.01
    614.83	+294.84	+295.02
    615.73	+294.84	+295.01
    616.64	+294.84	+295.02
    617.54	+294.84	+295.02
    618.44	+294.84	+295.01
    619.35	+294.84	+295.02
    620.25	+294.84	+295.01
    621.16	+294.84	+295.01
    622.06	+294.84	+295.02
    622.96	+294.84	+295.02
    623.87	+294.84	+295.02
    624.77	+294.84	+295.01
    625.68	+294.84	+295.01
    626.58	+294.84	+295.01
    627.49	+294.84	+295.01
    628.39	+294.84	+295.01
    629.30	+294.84	+295.02
    630.20	+294.84	+295.02
    631.11	+294.84	+295.01
    632.01	+294.84	+295.01
    632.92	+294.84	+295.02
    633.83	+294.84	+295.02
    634.73	+294.84	+295.01
    635.63	+294.84	+295.01
    636.54	+294.84	+295.02
    637.44	+294.84	+295.01
    638.35	+294.84	+295.01
    639.25	+294.84	+295.01
    640.16	+294.84	+295.02
    641.06	+294.84	+295.02
    641.97	+294.84	+295.01
    642.87	+294.84	+295.02
    643.78	+294.84	+295.02
    644.68	+294.84	+295.01
    645.59	+294.84	+295.01
    646.49	+294.84	+295.01
    647.40	+294.84	+295.01
    648.30	+294.84	+295.01
    649.21	+294.84	+295.01
    650.11	+294.84	+295.01
    651.02	+294.84	+295.01
    651.92	+294.84	+295.01
    652.83	+294.84	+295.01
    653.73	+294.84	+295.01
    654.64	+294.84	+295.01
    655.54	+294.84	+295.01
    656.44	+294.84	+295.01
    657.35	+294.84	+295.01
    658.25	+294.85	+295.02
    659.16	+294.84	+295.02
    660.06	+294.84	+295.01
    660.97	+294.84	+295.01
    661.87	+294.84	+295.02
    662.78	+294.84	+295.01
    663.68	+294.84	+295.01
    664.59	+294.84	+295.02
    665.49	+294.84	+295.01
    666.40	+294.84	+295.02
    667.30	+294.84	+295.01
    668.21	+294.84	+295.02
    669.11	+294.84	+295.02
    670.02	+294.84	+295.01
    670.92	+294.84	+295.01
    671.83	+294.84	+295.02
    672.73	+294.84	+295.01
    673.63	+294.84	+295.02
    674.54	+294.84	+295.01
    675.44	+294.84	+295.01
    676.35	+294.84	+295.01
    677.25	+294.84	+295.02
    678.16	+294.84	+295.02
    679.06	+294.84	+295.01
    679.97	+294.84	+295.01
    680.87	+294.84	+295.01
    681.78	+294.84	+295.02
    682.68	+294.84	+295.02
    683.59	+294.84	+295.01
    684.49	+294.85	+295.01
    685.40	+294.84	+295.01
    686.30	+294.84	+295.01
    687.21	+294.84	+295.01
    688.11	+294.84	+295.02
    689.02	+294.84	+295.01
    689.92	+294.84	+295.01
    690.83	+294.84	+295.01
    691.73	+294.84	+295.01
    692.63	+294.84	+295.01
    693.54	+294.84	+295.01
    694.44	+294.84	+295.01
    695.35	+294.84	+295.01
    696.25	+294.84	+295.01
    697.16	+294.84	+295.02
    698.06	+294.84	+295.01
    698.97	+294.84	+295.01
    699.87	+294.84	+295.01
    700.78	+294.84	+295.01
    701.68	+294.84	+295.02
    702.59	+294.84	+295.01
    703.49	+294.84	+295.01
    704.40	+294.84	+295.01
    705.30	+294.84	+295.01
    706.21	+294.84	+295.02
    707.11	+294.84	+295.02
    708.02	+294.84	+295.02
    708.92	+294.84	+295.01
    709.83	+294.84	+295.01
    710.73	+294.84	+295.01
    711.64	+294.84	+295.01
    712.54	+294.84	+295.02
    713.45	+294.84	+295.01
    714.35	+294.84	+295.02
    715.26	+294.84	+295.02
    716.16	+294.84	+295.01
    717.07	+294.84	+295.02
    717.97	+294.84	+295.01
    718.87	+294.84	+295.01
    719.78	+294.84	+295.01
    720.68	+294.84	+295.01
    721.59	+294.84	+295.02
    722.49	+294.85	+295.01
    723.40	+294.85	+295.02
    724.31	+294.84	+295.01
    725.21	+294.84	+295.01
    726.12	+294.84	+295.01
    727.02	+294.84	+295.02
    727.93	+294.84	+295.02
    728.83	+294.84	+295.02
    729.74	+294.84	+295.02
    730.64	+294.84	+295.01
    731.55	+294.84	+295.01
    732.45	+294.84	+295.02
    733.36	+294.84	+295.02
    734.26	+294.84	+295.01
    735.17	+294.84	+295.01
    736.07	+294.84	+295.01
    736.98	+294.85	+295.02
    737.88	+294.84	+295.01
    738.79	+294.85	+295.02
    739.69	+294.84	+295.02
    740.60	+294.84	+295.01
    741.50	+294.84	+295.02
    742.41	+294.84	+295.02
    743.31	+294.84	+295.02
    744.22	+294.84	+295.01
    745.12	+294.84	+295.01
    746.03	+294.84	+295.02
    746.93	+294.84	+295.02
    747.84	+294.84	+295.01
    748.74	+294.84	+295.01
    749.65	+294.84	+295.02
    750.55	+294.84	+295.02
    751.46	+294.84	+295.01
    752.36	+294.84	+295.01
    753.27	+294.84	+295.01
    754.17	+294.84	+295.01
    755.07	+294.84	+295.01
    755.98	+294.84	+295.01
    756.88	+294.84	+295.02
    757.79	+294.84	+295.01
    758.69	+294.84	+295.01
    759.60	+294.85	+295.01
    760.50	+294.84	+295.01
    761.41	+294.84	+295.02
    762.31	+294.84	+295.01
    763.22	+294.84	+295.02
    764.12	+294.84	+295.01
    765.03	+294.84	+295.02
    765.93	+294.84	+295.01
    766.84	+294.84	+295.02
    767.74	+294.84	+295.02
    768.65	+294.84	+295.01
    769.55	+294.84	+295.01
    770.46	+294.84	+295.01
    771.36	+294.84	+295.01
    772.27	+294.84	+295.02
    773.17	+294.84	+295.02
    774.08	+294.84	+295.02
    774.98	+294.84	+295.01
    775.89	+294.84	+295.02
    776.79	+294.84	+295.02
    777.70	+294.84	+295.02
    778.60	+294.84	+295.01
    779.50	+294.85	+295.01
    780.41	+294.84	+295.02
    781.31	+294.85	+295.02
    782.22	+294.84	+295.02
    783.12	+294.84	+295.02
    784.03	+294.84	+295.02
    784.93	+294.84	+295.02
    785.84	+294.84	+295.02
    786.75	+294.84	+295.02
    787.65	+294.84	+295.02
    788.56	+294.84	+295.02
    789.46	+294.84	+295.01
    790.36	+294.84	+295.02
    791.27	+294.84	+295.01
    792.17	+294.84	+295.02
    793.08	+294.84	+295.01
    793.98	+294.84	+295.02
    794.89	+294.84	+295.02
    795.79	+294.84	+295.01
    796.70	+294.84	+295.01
    797.60	+294.85	+295.02
    798.51	+294.84	+295.02
    799.41	+294.84	+295.01
    800.32	+294.85	+295.02
    801.22	+294.84	+295.02
    802.13	+294.84	+295.01
    803.03	+294.84	+295.01
    803.94	+294.84	+295.02
    804.84	+294.84	+295.02
    805.75	+294.84	+295.02
    806.65	+294.85	+295.01
    807.56	+294.84	+295.01
